State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total 
Victoria,NOM,9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9126,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Victoria,NOM,9127,Sierra Leone,0,0,0,0,3,5,3,3,0,0,0,0,0,0,0,0,0,0,9
Victoria,NOM,9128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9200,S & E Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9201,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9202,Botswana,0,3,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-2
Victoria,NOM,9203,Burundi,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Victoria,NOM,9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Victoria,NOM,9206,Eritrea,0,0,0,3,2,3,6,9,5,6,0,0,-3,-3,3,0,0,0,25
Victoria,NOM,9207,Ethiopia,19,11,4,13,17,17,29,22,15,15,1,5,1,-3,3,0,0,-6,176
Victoria,NOM,9208,Kenya,13,19,7,17,48,13,22,9,5,7,0,-7,4,-3,-3,0,0,0,145
Victoria,NOM,9211,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9212,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9213,Malawi,0,0,0,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,-1
Victoria,NOM,9214,Mauritius,5,0,0,3,5,-7,0,2,0,0,1,11,-7,-4,5,-3,3,-3,-5
Victoria,NOM,9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9216,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Victoria,NOM,9217,Namibia,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1
Victoria,NOM,9218,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9221,Rwanda,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
Victoria,NOM,9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9223,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9224,Somalia,4,0,0,8,8,12,2,-9,-3,-17,1,3,-2,1,1,-5,-3,0,-10
Victoria,NOM,9225,South Africa,31,39,24,12,8,14,61,70,40,15,7,5,4,9,-1,6,0,0,345
Victoria,NOM,9226,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,9227,Tanzania,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,6
Victoria,NOM,9228,Uganda,4,-3,3,0,6,3,0,-3,0,0,0,0,0,3,0,0,0,0,10
Victoria,NOM,9231,Zambia,0,0,0,0,0,2,-5,3,3,0,0,0,0,0,0,0,0,0,12
Victoria,NOM,9232,Zimbabwe,0,4,4,6,8,14,10,6,2,8,0,3,-3,-4,-3,-4,0,0,59
Victoria,NOM,9299,"S & E Afr, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,NOM,Total,Total,1200,1211,1402,1987,-461,-3949,-787,422,583,180,-427,-1144,-1919,-2000,-1134,-457,-175,-96,-5556
Queensland,Arrival,1000,Oceania nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1100,Aust (incl E T) nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1101,Australia,387,437,372,293,486,879,754,546,409,434,345,263,263,139,110,31,19,3,6168
Queensland,Arrival,1102,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1201,New Zealand,361,285,205,342,534,455,296,193,186,188,177,203,162,164,122,59,37,18,3981
Queensland,Arrival,1300,Melanesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1301,New Caledonia,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13
Queensland,Arrival,1302,PNG,11,9,17,18,18,15,26,10,13,13,10,12,13,8,7,0,0,0,190
Queensland,Arrival,1303,Solomon Islands,3,3,3,0,204,315,247,160,59,11,3,0,0,0,0,0,0,0,1012
Queensland,Arrival,1304,Vanuatu,0,0,0,0,91,242,200,141,58,21,3,5,0,0,0,0,0,0,771
Queensland,Arrival,1400,Micronesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1402,Kiribati,0,0,0,0,7,21,23,10,11,0,0,0,0,0,0,0,0,0,73
Queensland,Arrival,1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
Queensland,Arrival,1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1500,Polynesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1501,Cook Islands,0,0,0,3,7,0,3,0,5,0,3,4,3,0,0,0,0,0,35
Queensland,Arrival,1502,Fiji,3,4,9,7,20,24,27,38,32,20,16,10,16,16,4,3,0,0,260
Queensland,Arrival,1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,1504,Niue,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,14
Queensland,Arrival,1505,Samoa,0,0,6,13,263,336,250,144,72,13,12,12,13,12,14,4,4,0,1171
Queensland,Arrival,1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Queensland,Arrival,1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Queensland,Arrival,1508,Tonga,0,0,0,4,210,177,142,73,58,30,12,4,0,0,3,0,0,0,714
Queensland,Arrival,1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1600,Antarctica nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2000,NW Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,21,"UK, CIs & IOM",221,141,117,67,110,373,193,163,124,108,125,117,101,87,87,40,26,4,2234
Queensland,Arrival,2201,Ireland,11,18,6,4,9,24,20,13,19,12,4,8,9,0,0,6,0,0,160
Queensland,Arrival,2300,Western Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2301,Austria,3,3,0,0,0,10,3,5,0,0,3,0,4,0,0,0,0,0,37
Queensland,Arrival,2302,Belgium,4,0,0,3,3,5,4,3,0,0,0,4,0,3,0,0,0,0,38
Queensland,Arrival,2303,France,9,17,4,10,16,33,28,24,17,8,7,4,3,0,5,0,0,0,190
Queensland,Arrival,2304,Germany,21,13,3,7,21,44,36,30,23,15,12,20,6,16,3,4,3,0,262
Queensland,Arrival,2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2308,Netherlands,10,10,0,0,5,16,13,12,3,5,3,0,3,3,10,0,0,0,100
Queensland,Arrival,2311,Switzerland,7,13,6,0,0,0,12,3,5,3,0,0,0,7,0,0,0,0,65
Queensland,Arrival,2400,Northern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2401,Denmark,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,15
Queensland,Arrival,2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2403,Finland,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25
Queensland,Arrival,2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,2406,Norway,0,7,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,19
Queensland,Arrival,2407,Sweden,11,3,0,3,5,5,3,4,3,0,4,3,0,0,0,0,0,0,58
Queensland,Arrival,2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3000,S & E Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3100,Southern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3104,Italy,5,0,0,3,5,11,11,6,0,10,3,0,3,3,0,5,0,0,71
Queensland,Arrival,3105,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Queensland,Arrival,3106,Portugal,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18
Queensland,Arrival,3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3108,Spain,12,6,9,3,3,10,5,4,8,0,0,0,0,0,0,0,0,0,70
Queensland,Arrival,3200,SE Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3201,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,3202,Bosnia/Herzegov,0,0,4,0,0,0,6,4,0,0,9,0,3,0,3,0,0,0,34
Queensland,Arrival,3203,Bulgaria,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,3204,Croatia,0,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,13
Queensland,Arrival,3205,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Queensland,Arrival,3206,North Macedonia,3,3,0,0,0,0,0,3,3,3,0,5,6,0,0,0,0,0,33
Queensland,Arrival,3207,Greece,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,3,0,0,21
Queensland,Arrival,3208,Moldova,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7
Queensland,Arrival,3211,Romania,3,0,0,0,0,3,4,3,7,3,4,0,5,0,0,0,0,0,38
Queensland,Arrival,3212,Slovenia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7
Queensland,Arrival,3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,3215,Serbia,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,11
Queensland,Arrival,3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3300,Eastern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,3301,Belarus,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8
Queensland,Arrival,3302,Czechia,0,0,0,0,3,3,3,3,7,0,0,0,0,0,0,0,0,0,22
Queensland,Arrival,3303,Estonia,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,6
Queensland,Arrival,3304,Hungary,0,0,0,7,0,0,0,3,3,3,3,0,0,0,0,0,0,0,26
Queensland,Arrival,3305,Latvia,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Queensland,Arrival,3306,Lithuania,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
Queensland,Arrival,3307,Poland,0,0,3,0,8,11,11,9,11,3,0,0,4,3,0,0,0,0,62
Queensland,Arrival,3308,Russia,7,6,9,3,3,11,16,23,3,10,10,5,4,0,0,0,0,0,108
Queensland,Arrival,3311,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,3312,Ukraine,6,0,3,0,3,5,6,11,7,9,3,0,0,3,0,0,0,0,51
Queensland,Arrival,4000,N Afr & Middl E nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4100,North Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4101,Algeria,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6
Queensland,Arrival,4102,Egypt,4,5,8,4,0,5,15,15,8,0,0,3,3,0,0,0,0,0,71
Queensland,Arrival,4103,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4104,Morocco,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,13
Queensland,Arrival,4105,Sudan,0,0,0,0,3,0,3,3,3,7,3,0,0,0,0,0,0,0,26
Queensland,Arrival,4106,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4111,South Sudan,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,9
Queensland,Arrival,4200,Middle East nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4201,Bahrain,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Queensland,Arrival,4202,Gaza Str/W Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,4203,Iran,11,9,11,11,11,24,58,59,28,7,6,3,0,0,0,0,3,0,246
Queensland,Arrival,4204,Iraq,6,7,9,11,9,20,12,10,7,7,4,7,4,0,0,0,0,0,109
Queensland,Arrival,4205,Israel,4,0,3,4,0,0,0,3,0,3,3,0,0,0,0,0,0,0,27
Queensland,Arrival,4206,Jordan,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13
Queensland,Arrival,4207,Kuwait,3,10,5,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,24
Queensland,Arrival,4208,Lebanon,7,5,0,5,0,3,4,3,3,0,0,0,0,0,0,0,0,0,31
Queensland,Arrival,4211,Oman,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13
Queensland,Arrival,4212,Qatar,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Queensland,Arrival,4213,Saudi Arabia,13,14,3,4,3,5,10,4,0,0,0,0,0,0,0,0,0,0,58
Queensland,Arrival,4214,Syria,0,3,3,4,6,10,3,11,3,9,3,4,0,3,0,3,0,0,60
Queensland,Arrival,4215,Turkey,4,3,3,3,4,0,7,10,4,7,7,3,3,0,0,4,0,0,57
Queensland,Arrival,4216,Unit Arab Emir,36,26,9,3,3,0,3,6,3,0,0,0,0,0,0,0,0,0,96
Queensland,Arrival,4217,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,5000,South-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,5100,Mainld SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,5101,Myanmar,4,0,4,4,9,4,11,4,0,3,0,0,0,3,3,0,0,0,53
Queensland,Arrival,5102,Cambodia,8,3,7,4,4,0,3,3,0,0,0,0,3,0,0,0,0,0,42
Queensland,Arrival,5103,Laos,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,7
Queensland,Arrival,5104,Thailand,21,16,22,22,30,33,27,32,37,18,22,3,7,3,0,0,0,0,297
Queensland,Arrival,5105,Vietnam,26,27,41,42,31,44,37,47,39,22,17,13,5,5,4,3,0,0,410
Queensland,Arrival,5200,M'time SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,5201,Brunei,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Queensland,Arrival,5202,Indonesia,15,8,14,19,24,16,13,26,13,14,11,3,6,9,3,0,0,0,192
Queensland,Arrival,5203,Malaysia,21,19,10,7,36,48,38,29,24,11,9,7,12,7,14,0,0,0,299
Queensland,Arrival,5204,Philippines,89,85,99,92,110,172,197,170,93,62,38,18,21,15,5,0,0,0,1281
Queensland,Arrival,5205,Singapore,37,30,12,21,92,63,43,23,17,11,9,9,3,8,4,0,0,0,388
Queensland,Arrival,5206,Timor-Leste,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,16
Queensland,Arrival,6000,North-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,6100,Chinese Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,6101,China,45,59,73,51,88,147,156,121,111,77,75,103,103,101,27,5,0,0,1351
Queensland,Arrival,6102,Hong Kong,29,70,90,44,23,26,20,39,85,56,39,19,24,17,4,3,0,3,587
Queensland,Arrival,6103,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,6104,Mongolia,3,3,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,27
Queensland,Arrival,6105,Taiwan,11,22,17,6,16,33,22,21,26,24,14,12,11,15,9,3,0,0,263
Queensland,Arrival,6200,Japan & Koreas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,6201,Japan,36,22,25,12,26,41,45,30,38,26,9,12,4,0,3,0,0,0,324
Queensland,Arrival,6202,"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,6203,"Korea, South",11,23,8,3,26,35,37,43,33,21,17,3,14,6,3,3,0,0,273
Queensland,Arrival,7000,S & C Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7100,Southern Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7101,Bangladesh,5,3,0,8,8,15,19,14,6,6,0,7,0,0,0,0,0,0,101
Queensland,Arrival,7102,Bhutan,0,0,3,0,0,8,6,0,3,0,0,0,0,0,0,0,0,0,29
Queensland,Arrival,7103,India,98,101,59,90,284,376,351,248,137,55,33,38,33,33,15,11,0,0,1964
Queensland,Arrival,7104,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7105,Nepal,0,12,3,6,54,50,25,22,0,3,0,5,0,0,0,0,0,0,187
Queensland,Arrival,7106,Pakistan,20,19,8,19,37,58,43,25,9,3,0,0,0,3,4,0,0,0,240
Queensland,Arrival,7107,Sri Lanka,23,23,10,16,12,30,46,52,26,24,4,8,8,3,5,5,0,3,293
Queensland,Arrival,7200,Central Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7201,Afghanistan,197,153,121,138,158,176,124,81,32,31,29,23,24,11,3,0,0,0,1291
Queensland,Arrival,7202,Armenia,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
Queensland,Arrival,7203,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7204,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Queensland,Arrival,7205,Kazakhstan,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,10
Queensland,Arrival,7206,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,7211,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Queensland,Arrival,8000,Americas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8100,N'thern America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8101,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,8102,Canada,52,20,18,16,93,104,57,22,19,18,10,10,5,5,3,5,3,0,457
Queensland,Arrival,8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8104,USA,100,58,42,47,158,129,118,75,46,38,27,20,18,10,7,0,0,0,886
Queensland,Arrival,8200,South America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8201,Argentina,0,0,0,0,4,17,24,7,0,3,0,0,0,0,0,0,0,0,56
Queensland,Arrival,8202,Bolivia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Queensland,Arrival,8203,Brazil,3,5,11,6,3,9,33,26,15,12,7,5,3,0,0,0,0,0,143
Queensland,Arrival,8204,Chile,3,3,3,7,3,6,5,5,4,7,3,0,3,0,0,0,0,0,66
Queensland,Arrival,8205,Colombia,0,8,0,3,6,3,7,9,5,4,3,0,4,0,0,0,0,0,67
Queensland,Arrival,8206,Ecuador,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12
Queensland,Arrival,8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8211,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8212,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Queensland,Arrival,8213,Peru,4,3,0,0,0,0,3,4,4,0,0,0,0,0,3,3,0,0,21
Queensland,Arrival,8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8215,Uruguay,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
Queensland,Arrival,8216,Venezuela,0,0,3,3,0,3,3,4,0,3,0,3,0,0,0,0,0,0,29
Queensland,Arrival,8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8300,Central America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8302,Costa Rica,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Queensland,Arrival,8303,El Salvador,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,13
Queensland,Arrival,8304,Guatemala,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15
Queensland,Arrival,8305,Honduras,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10
Queensland,Arrival,8306,Mexico,0,0,0,0,5,9,0,8,0,4,3,0,0,0,0,0,0,0,32
Queensland,Arrival,8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8308,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8400,Caribbean nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8404,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8405,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8406,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queensland,Arrival,8407,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Queensland,Arrival,8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
