State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,2311,Switzerland,21,13,8,3,4,13,16,6,5,9,3,10,4,3,0,0,0,0,111
New South Wales,Arrival,2400,Northern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2401,Denmark,19,4,0,0,3,14,12,3,5,0,0,3,0,0,0,0,0,0,72
New South Wales,Arrival,2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2403,Finland,5,0,0,0,0,6,7,8,4,0,0,0,0,0,0,0,0,0,36
New South Wales,Arrival,2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,2406,Norway,5,12,3,3,7,3,7,6,5,3,0,0,0,0,0,0,0,0,66
New South Wales,Arrival,2407,Sweden,26,16,12,0,16,23,14,17,12,16,5,5,0,0,0,0,0,0,159
New South Wales,Arrival,2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3000,S & E Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3100,Southern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3104,Italy,15,12,10,8,16,44,34,38,14,20,17,7,7,13,10,7,3,0,278
New South Wales,Arrival,3105,Malta,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,3,0,0,23
New South Wales,Arrival,3106,Portugal,0,3,0,3,0,3,11,7,5,7,3,3,5,3,0,4,5,0,71
New South Wales,Arrival,3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3108,Spain,28,15,5,0,4,24,30,21,17,11,8,6,3,0,4,0,3,3,186
New South Wales,Arrival,3200,SE Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3201,Albania,0,0,0,0,0,3,4,0,0,0,0,4,0,3,0,0,0,0,17
New South Wales,Arrival,3202,Bosnia/Herzegov,4,0,0,3,4,3,5,8,8,5,3,4,0,4,3,0,0,0,56
New South Wales,Arrival,3203,Bulgaria,0,0,0,0,0,7,3,5,6,3,0,0,0,0,0,0,0,0,27
New South Wales,Arrival,3204,Croatia,0,0,0,0,0,10,9,7,4,3,3,3,6,4,3,7,3,3,69
New South Wales,Arrival,3205,Cyprus,0,0,0,0,0,0,3,0,0,0,0,4,4,4,0,0,0,0,19
New South Wales,Arrival,3206,North Macedonia,4,3,0,8,16,15,15,14,8,7,3,13,7,3,5,3,3,0,120
New South Wales,Arrival,3207,Greece,8,6,5,14,3,6,14,3,4,4,0,6,3,7,16,14,5,6,141
New South Wales,Arrival,3208,Moldova,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4
New South Wales,Arrival,3211,Romania,0,0,5,0,3,3,12,8,4,7,6,3,3,0,3,3,0,0,61
New South Wales,Arrival,3212,Slovenia,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7
New South Wales,Arrival,3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
New South Wales,Arrival,3215,Serbia,0,0,3,0,8,6,4,10,3,6,3,0,5,3,3,0,0,0,52
New South Wales,Arrival,3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3300,Eastern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3301,Belarus,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,3302,Czechia,3,0,0,0,0,5,7,10,10,5,0,3,3,4,5,3,0,0,57
