State of Residence,Migration Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total 
Victoria,Arrival,6102,Hong Kong,140,260,300,490,530,320,280,250,230,190,110,70,70,60,40,10,0,0,3370
Victoria,Arrival,6103,Macau,0,0,0,60,70,10,0,0,0,0,0,0,0,0,0,0,0,0,170
Victoria,Arrival,6104,Mongolia,20,20,10,40,50,50,30,20,10,10,10,0,0,0,0,0,0,0,250
Victoria,Arrival,6105,Taiwan,40,20,30,140,620,810,320,140,70,40,40,20,20,20,20,10,0,0,2340
Victoria,Arrival,6200,Japan & Koreas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,6201,Japan,90,50,40,120,440,390,220,100,50,50,30,10,0,10,10,0,0,0,1600
Victoria,Arrival,6202,"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,6203,"Korea, South",50,60,30,80,440,470,210,100,80,30,20,20,20,10,10,0,0,0,1640
Victoria,Arrival,7000,S & C Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,7100,Southern Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,7101,Bangladesh,60,30,30,300,410,250,140,90,70,30,20,10,10,10,10,10,0,0,1480
Victoria,Arrival,7102,Bhutan,0,10,0,20,60,50,40,20,10,0,0,0,0,0,0,0,0,0,210
Victoria,Arrival,7103,India,1310,1090,610,3790,7660,7390,4630,2610,1240,440,460,530,730,800,460,170,70,20,34000
Victoria,Arrival,7104,Maldives,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,7105,Nepal,50,70,30,1060,1530,990,360,110,50,30,60,50,40,30,10,10,0,0,4480
Victoria,Arrival,7106,Pakistan,290,150,140,410,1070,1030,530,270,150,60,30,30,30,30,30,10,10,0,4250
Victoria,Arrival,7107,Sri Lanka,230,180,130,450,1430,1210,860,470,240,120,110,60,110,140,110,60,40,20,5980
Victoria,Arrival,7200,Central Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,7201,Afghanistan,150,200,240,210,330,360,250,170,100,70,50,40,40,10,10,10,10,0,2250
Victoria,Arrival,7202,Armenia,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,7203,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,7204,Georgia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,7205,Kazakhstan,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,60
Victoria,Arrival,7206,Kyrgyzstan,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,7211,Uzbekistan,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,50
Victoria,Arrival,8000,Americas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8100,N'thern America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8101,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8102,Canada,90,30,20,30,200,230,120,70,40,20,20,10,10,10,10,0,0,0,900
Victoria,Arrival,8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8104,USA,290,170,70,150,300,320,240,140,80,50,40,30,30,20,20,10,10,0,1960
Victoria,Arrival,8200,South America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8201,Argentina,10,10,10,10,50,200,170,40,20,10,0,0,0,0,0,0,0,0,530
Victoria,Arrival,8202,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8203,Brazil,20,10,20,40,170,400,250,110,50,20,10,0,10,10,0,0,0,0,1120
Victoria,Arrival,8204,Chile,20,20,10,40,100,280,220,70,40,20,20,10,10,10,0,10,0,0,850
Victoria,Arrival,8205,Colombia,30,20,10,160,780,1600,970,270,110,30,20,20,20,20,10,10,0,0,4080
Victoria,Arrival,8206,Ecuador,0,0,0,0,10,40,20,0,0,0,0,0,0,0,0,0,0,0,100
Victoria,Arrival,8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8211,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8212,Paraguay,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,40
Victoria,Arrival,8213,Peru,10,0,0,10,20,90,80,20,10,10,0,0,0,0,0,0,0,0,270
Victoria,Arrival,8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8215,Uruguay,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,40
Victoria,Arrival,8216,Venezuela,0,0,0,0,10,20,20,10,0,0,0,0,10,10,0,0,0,0,90
Victoria,Arrival,8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8300,Central America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8302,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8303,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,8304,Guatemala,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,8305,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8306,Mexico,20,10,0,30,50,120,70,40,20,10,10,0,0,0,0,0,0,0,370
Victoria,Arrival,8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8308,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8400,Caribbean nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8404,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8405,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8406,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8407,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8411,Dominican Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8414,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8415,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,8416,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8421,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8423,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8424,St Vinc/Grenad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8425,Trinidad/Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8434,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9000,Sub-Saha Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9100,Cent & W Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9103,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,9104,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9107,"Congo, Rep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9108,"Congo, Dem Rep",0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,70
Victoria,Arrival,9111,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9113,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9114,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9115,Ghana,10,10,0,10,10,30,30,30,10,0,0,0,0,0,0,0,0,0,150
Victoria,Arrival,9116,Guinea,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9118,Liberia,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,9121,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9122,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9123,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9124,Nigeria,40,20,20,20,30,110,120,90,30,20,10,0,10,10,0,0,0,0,540
Victoria,Arrival,9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9126,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9127,Sierra Leone,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,9128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9200,S & E Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9201,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9202,Botswana,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,9203,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9206,Eritrea,0,10,20,20,10,10,10,20,10,10,10,0,10,0,0,0,0,0,150
Victoria,Arrival,9207,Ethiopia,30,10,10,20,50,60,70,40,30,20,10,10,10,0,0,0,0,0,380
Victoria,Arrival,9208,Kenya,20,30,30,80,270,270,140,60,30,10,10,10,0,10,0,0,0,0,960
Victoria,Arrival,9211,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9212,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9213,Malawi,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Arrival,9214,Mauritius,20,10,10,50,120,80,50,30,20,10,10,10,10,20,10,0,0,0,470
Victoria,Arrival,9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9216,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9217,Namibia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Arrival,9218,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9221,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9223,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Arrival,9224,Somalia,0,0,0,10,20,20,30,30,30,20,20,20,10,0,0,0,0,0,220
Victoria,Arrival,9225,South Africa,110,120,90,70,100,200,200,190,140,80,60,40,20,30,30,20,10,0,1510
Victoria,Arrival,9226,Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,9227,Tanzania,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Victoria,Arrival,9228,Uganda,10,10,0,10,10,20,10,10,0,0,0,0,0,0,0,0,0,0,90
Victoria,Arrival,9231,Zambia,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40
Victoria,Arrival,9232,Zimbabwe,20,20,20,50,90,80,70,60,30,20,10,10,0,10,10,0,0,0,520
Victoria,Arrival,9299,"S & E Afr, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Arrival,Total,Total,7670,7310,6090,18950,41160,36020,21880,12780,8120,4540,4140,3120,3390,3280,1970,910,460,200,181980
Victoria,Departure,1000,Oceania nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1100,Aust (incl E T) nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1101,Australia,3250,1520,820,710,1830,2520,1520,810,590,440,420,290,280,180,120,50,20,10,15380
Victoria,Departure,1102,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1201,New Zealand,100,130,170,190,220,400,430,310,220,170,150,170,150,90,50,30,10,10,3010
Victoria,Departure,1300,Melanesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1301,New Caledonia,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,1302,PNG,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,50
Victoria,Departure,1303,Solomon Islands,0,0,0,0,0,20,10,10,10,0,0,0,0,0,0,0,0,0,70
Victoria,Departure,1304,Vanuatu,0,0,0,0,30,120,110,80,50,20,10,0,0,0,0,0,0,0,430
Victoria,Departure,1400,Micronesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1402,Kiribati,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1500,Polynesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1501,Cook Islands,0,0,0,0,10,0,0,0,0,0,10,10,10,0,10,0,0,0,70
Victoria,Departure,1502,Fiji,10,0,0,0,10,20,10,20,10,10,10,10,10,20,10,10,0,0,170
Victoria,Departure,1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,1505,Samoa,10,10,20,30,40,40,50,50,30,30,20,30,30,20,10,10,10,0,430
Victoria,Departure,1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1508,Tonga,0,0,0,0,10,40,20,30,20,10,20,10,10,10,0,0,0,0,190
Victoria,Departure,1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1600,Antarctica nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2000,NW Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,21,"UK, CIs & IOM",90,80,70,70,200,640,480,260,160,130,150,160,110,80,80,40,30,20,2840
Victoria,Departure,2201,Ireland,10,0,10,10,30,200,170,130,60,30,10,10,10,0,0,0,0,0,690
Victoria,Departure,2300,Western Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2301,Austria,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,40
Victoria,Departure,2302,Belgium,0,0,10,0,0,20,20,10,10,0,0,0,0,0,0,0,0,0,90
Victoria,Departure,2303,France,10,10,20,20,70,230,140,70,50,30,10,10,0,0,10,0,0,0,680
Victoria,Departure,2304,Germany,10,10,10,20,70,100,80,50,40,20,30,20,10,10,10,0,10,0,490
Victoria,Departure,2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2308,Netherlands,0,10,10,10,20,40,40,20,20,10,10,10,10,10,0,0,0,0,220
Victoria,Departure,2311,Switzerland,0,0,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,70
Victoria,Departure,2400,Northern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2401,Denmark,0,10,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,60
Victoria,Departure,2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2403,Finland,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,2406,Norway,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,2407,Sweden,0,10,10,0,10,20,20,10,10,10,0,0,10,0,0,0,0,0,130
Victoria,Departure,2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3000,S & E Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3100,Southern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3104,Italy,0,0,10,0,20,90,110,50,30,10,10,10,10,10,10,10,10,10,410
Victoria,Departure,3105,Malta,0,0,0,0,0,0,10,0,0,10,0,0,0,0,10,0,0,0,40
Victoria,Departure,3106,Portugal,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,60
Victoria,Departure,3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3108,Spain,0,10,10,0,10,40,40,20,20,20,0,0,0,0,0,0,0,0,190
Victoria,Departure,3200,SE Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3201,Albania,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,40
Victoria,Departure,3202,Bosnia/Herzegov,0,0,0,0,0,0,20,20,20,10,10,10,10,20,10,10,10,0,160
Victoria,Departure,3203,Bulgaria,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,40
Victoria,Departure,3204,Croatia,0,0,0,0,0,0,10,20,10,10,10,10,20,20,10,10,0,0,130
Victoria,Departure,3205,Cyprus,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,50
Victoria,Departure,3206,North Macedonia,0,0,0,0,0,10,10,10,10,10,10,10,10,20,20,10,10,0,130
Victoria,Departure,3207,Greece,0,0,10,0,10,10,20,20,10,10,10,20,10,30,30,30,30,10,280
Victoria,Departure,3208,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3211,Romania,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,110
Victoria,Departure,3212,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Departure,3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,3215,Serbia,0,10,0,0,0,10,10,20,10,10,10,10,10,10,10,0,0,0,120
Victoria,Departure,3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3300,Eastern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,3301,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,3302,Czechia,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,3303,Estonia,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,3304,Hungary,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
Victoria,Departure,3305,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,3306,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Victoria,Departure,3307,Poland,0,0,0,0,0,10,30,20,20,10,10,10,10,20,10,10,10,0,150
Victoria,Departure,3308,Russia,0,0,0,0,10,20,20,20,20,0,10,10,10,0,0,0,0,0,110
Victoria,Departure,3311,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Victoria,Departure,3312,Ukraine,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,40
Victoria,Departure,4000,N Afr & Middl E nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,Departure,4100,North Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
