State of Residence,Migration Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,2311,Switzerland,30,20,20,10,20,40,30,10,20,10,0,0,0,0,0,0,0,0,230
New South Wales,Arrival,2400,Northern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2401,Denmark,10,10,10,10,60,40,10,10,0,10,10,0,0,0,0,0,0,0,180
New South Wales,Arrival,2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2403,Finland,10,0,0,10,20,20,10,10,10,0,0,0,0,0,0,0,0,0,110
New South Wales,Arrival,2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,2406,Norway,10,0,10,10,60,20,10,0,0,0,0,0,0,0,0,0,0,0,140
New South Wales,Arrival,2407,Sweden,30,30,20,20,90,80,30,20,10,10,10,10,0,0,0,0,0,0,360
New South Wales,Arrival,2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3000,S & E Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3100,Southern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3104,Italy,40,10,20,60,280,370,230,90,40,30,20,10,10,10,20,10,0,0,1250
New South Wales,Arrival,3105,Malta,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,3106,Portugal,0,0,0,0,20,40,20,20,10,0,10,0,10,10,0,10,0,0,150
New South Wales,Arrival,3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3108,Spain,40,20,10,20,170,260,140,60,40,20,10,0,0,0,0,0,0,0,810
New South Wales,Arrival,3200,SE Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3201,Albania,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,3202,Bosnia/Herzegov,10,0,0,0,0,10,10,10,10,10,10,0,10,10,10,0,0,0,90
New South Wales,Arrival,3203,Bulgaria,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,3204,Croatia,0,0,0,0,0,10,10,10,10,0,0,10,10,10,10,0,0,0,90
New South Wales,Arrival,3205,Cyprus,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,3206,North Macedonia,10,0,0,0,20,20,20,20,10,10,10,10,10,10,10,0,0,0,190
New South Wales,Arrival,3207,Greece,10,0,10,10,20,30,20,20,20,10,10,10,10,10,20,20,10,10,230
New South Wales,Arrival,3208,Moldova,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,3211,Romania,10,0,0,0,10,10,10,20,10,10,0,0,0,0,0,0,0,0,100
New South Wales,Arrival,3212,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,3215,Serbia,10,0,0,0,10,20,20,20,10,10,10,0,10,10,0,0,0,0,120
New South Wales,Arrival,3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,3300,Eastern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,3301,Belarus,0,0,0,0,0,10,20,10,10,0,0,0,0,0,0,0,0,0,70
New South Wales,Arrival,3302,Czechia,10,0,0,10,30,40,40,10,20,0,0,0,0,0,0,0,0,0,180
New South Wales,Arrival,3303,Estonia,0,0,0,0,40,50,30,10,0,0,0,0,0,0,0,0,0,0,150
New South Wales,Arrival,3304,Hungary,0,0,0,0,10,20,20,10,20,10,10,0,0,10,0,0,0,0,120
New South Wales,Arrival,3305,Latvia,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,50
New South Wales,Arrival,3306,Lithuania,0,0,0,0,40,40,10,20,10,0,0,0,10,0,0,0,0,0,140
New South Wales,Arrival,3307,Poland,20,10,10,10,50,90,80,50,40,20,20,10,10,30,10,10,0,0,470
New South Wales,Arrival,3308,Russia,70,50,30,50,70,100,140,140,50,30,20,20,40,30,20,10,0,0,870
New South Wales,Arrival,3311,Slovakia,0,0,0,0,20,30,30,10,10,10,0,0,0,0,0,0,0,0,130
New South Wales,Arrival,3312,Ukraine,120,130,150,130,90,130,190,210,140,70,50,40,60,40,40,10,10,10,1620
New South Wales,Arrival,4000,N Afr & Middl E nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4100,North Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4101,Algeria,0,0,0,0,0,0,10,0,10,0,0,10,0,0,0,0,0,0,40
New South Wales,Arrival,4102,Egypt,50,50,30,30,70,80,90,80,50,10,10,10,10,20,10,10,0,0,620
New South Wales,Arrival,4103,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,4104,Morocco,0,0,0,0,10,20,20,0,10,0,0,0,0,0,0,0,0,0,80
New South Wales,Arrival,4105,Sudan,10,0,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,110
New South Wales,Arrival,4106,Tunisia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4111,South Sudan,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,4200,Middle East nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4201,Bahrain,0,10,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,50
New South Wales,Arrival,4202,Gaza Str/W Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4203,Iran,60,100,70,90,90,140,380,350,220,100,70,30,50,60,40,20,10,10,1870
New South Wales,Arrival,4204,Iraq,60,180,220,160,160,210,230,190,160,130,100,80,80,80,50,30,10,10,2130
New South Wales,Arrival,4205,Israel,20,20,10,0,50,40,10,20,10,10,10,0,0,0,0,0,0,0,210
New South Wales,Arrival,4206,Jordan,60,20,10,10,20,50,30,30,10,10,0,0,0,0,0,0,0,0,280
New South Wales,Arrival,4207,Kuwait,10,20,10,30,20,10,10,20,10,10,0,0,0,0,0,0,0,0,150
New South Wales,Arrival,4208,Lebanon,160,110,70,90,170,180,140,120,110,80,70,70,60,40,30,20,10,10,1550
New South Wales,Arrival,4211,Oman,10,10,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,70
New South Wales,Arrival,4212,Qatar,30,30,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90
New South Wales,Arrival,4213,Saudi Arabia,130,110,50,60,80,120,150,100,30,10,0,0,0,0,0,0,0,0,840
New South Wales,Arrival,4214,Syria,20,80,130,90,70,90,120,130,90,60,40,40,20,30,10,10,10,0,1050
New South Wales,Arrival,4215,Turkiye,40,30,10,30,190,410,140,50,40,20,20,30,20,20,20,10,10,0,1090
New South Wales,Arrival,4216,Unit Arab Emir,110,90,50,60,80,40,30,20,10,0,0,0,0,0,0,0,0,0,480
New South Wales,Arrival,4217,Yemen,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,5000,South-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5100,Mainld SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5101,Myanmar,10,10,30,170,170,90,100,80,40,20,10,10,10,10,20,10,0,0,790
New South Wales,Arrival,5102,Cambodia,10,10,30,120,110,50,40,30,30,20,10,20,10,10,10,0,0,0,510
New South Wales,Arrival,5103,Laos,0,0,0,90,90,30,20,10,10,10,10,0,0,0,0,0,0,0,290
New South Wales,Arrival,5104,Thailand,80,70,90,350,1200,1890,700,360,260,110,70,40,40,20,20,10,0,0,5330
New South Wales,Arrival,5105,Vietnam,130,190,310,1600,1070,650,400,330,250,190,170,140,130,100,50,20,10,10,5740
New South Wales,Arrival,5200,M'time SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5201,Brunei,0,0,0,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,50
New South Wales,Arrival,5202,Indonesia,110,110,60,1390,1340,1160,540,310,230,120,90,40,30,40,30,10,10,0,5640
